ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS
611,Hardy Rec Center,31326,38.909701,-77.085646,6,11
612,The Shoppes @ Burnt Mills,32085,39.031314,-77.004122,19,0
613,Briggs Chaney & Castle Dr,32086,39.081638,-76.945495,16,3
614,White Oak Rec Center,32087,39.046144,-76.975723,11,4
615,Briggs Chaney Park & Ride,32088,39.077875,-76.941867,8,15
616,Stewart & April,32090,39.044944,-76.981155,13,6
617,Stewart Ln & Old Columbia Pike,32091,39.045652,-76.985438,6,13
618,New Hampshire & Lockwood,32089,39.039102,-76.991824,5,13
619,Castle Blvd & Castle Ln,32092,39.085314,-76.940547,5,14
620,Oak Leaf & Lockwood,32094,39.037981,-76.994539,1,18
621,White Oak Transit Center,32093,39.04104,-76.987125,9,10
622,Wilson Blvd. & N. Vermont St.,31926,38.879477,-77.114563,6,5
624,Minnesota Ave & R St SE,31826,38.869337,-76.978519,10,9
625,Vy Reston Heights,32236,38.949008,-77.355299,3,8
626,1st & K St NE,31662,38.902386,-77.005649,3,14
1,Eads St & 15th St S,31000,38.858971,-77.05323,12,2
2,18th St & S Eads St,31001,38.85725,-77.05332,2,9
3,Crystal Dr & 20th St S,31002,38.856425,-77.049232,13,4
4,Crystal Dr & 15th St S,31003,38.86017,-77.049593,10,0
5,Aurora Hills Cmty Ctr / 18th St & S Hayes St,31004,38.857866,-77.05949,0,11
6,Pentagon City Metro / 12th St & S Hayes St,31005,38.862303,-77.059936,19,0
7,Army Navy Dr & S Joyce St,31006,38.8637,-77.0633,9,6
8,Crystal City Metro / 18th St & S Bell St,31007,38.857405,-77.051132,18,1
10,Crystal Dr & 27th St S,31009,38.848466,-77.051514,4,6
11,S Glebe Rd & Potomac Ave,31010,38.8426,-77.0502,5,6
12,Crystal Dr & 23rd St S,31011,38.8533,-77.0498,1,16
13,Clark St & 26th St S,31012,38.850688,-77.05152,4,7
14,19th St & Pennsylvania Ave NW,31100,38.9003,-77.0429,9,5
15,14th & V St NW,31101,38.917931,-77.032112,18,13
16,11th & Kenyon St NW,31102,38.929464,-77.027822,12,15
17,16th & Harvard St NW,31103,38.926088,-77.036536,19,14
